,majorGroup,familyName,genusName,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,redlistIndex,image_inaturalist,licence
441,Dicot,WINTERACEAE,Takhtajania,179751911,38000,Takhtajania perrieri,PLANTAE,TRACHEOPHYTA,CANELLALES,MAGNOLIOPSIDA,perrieri,NA,NA,NA,(Capuron) Baranova &amp; J.-F.Leroy,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global,4,,
442,Dicot,ARALIACEAE,Tetrapanax,147626844,147626842,Tetrapanax papyrifer,PLANTAE,TRACHEOPHYTA,APIALES,MAGNOLIOPSIDA,papyrifer,NA,NA,NA,(Hook.) K.Koch,Least Concern,,3.1,Stable,Global,1,,
443,Dicot,PODOSTEMACEAE,Podostemum,67730452,64321371,Podostemum ceratophyllum,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,ceratophyllum,NA,NA,NA,Michx.,Least Concern,,3.1,Unknown,Global,1,,
444,Dicot,ROSACEAE,Spiraeanthus,12668305,63489,Spiraeanthus schrenkianus,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,schrenkianus,NA,NA,NA,(Fisch. &amp; C.A.Mey.) Maxim.,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global,4,,
445,Dicot,CRASSULACEAE,Umbilicus,107468377,107428586,Umbilicus schmidtii,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,schmidtii,NA,NA,NA,Bolle,Endangered,B1ab(ii)+2ab(ii),3.1,Unknown,Global,4,,
446,Dicot,CACTACEAE,Stetsonia,121576661,152044,Stetsonia coryne,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,coryne,NA,NA,NA,(Salm-Dyck) Britton &amp; Rose,Least Concern,,3.1,Stable,Global,1,,
447,Dicot,CHRYSOBALANACEAE,Chrysobalanus,149056791,72231760,Chrysobalanus icaco,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,icaco,NA,NA,NA,L.,Least Concern,,3.1,Stable,Global,1,,
448,Dicot,CONVOLVULACEAE,Calystegia,78457032,19224959,Calystegia sepium,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,sepium,NA,NA,NA,(L.) R. Br.,Least Concern,,3.1,Unknown,Global,1,,
449,Dicot,EUPHORBIACEAE,Hevea,62003529,62003521,Hevea brasiliensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,brasiliensis,NA,NA,NA,(Willd. ex A.Juss.) Müll.Arg.,Least Concern,,3.1,Decreasing,Global,1,,
450,Dicot,FABACEAE,Calobota,63729935,63729897,Calobota lotononoides,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,lotononoides,NA,NA,NA,(Schltr.) Boatwr. &amp; B.-E.van Wyk,Near Threatened,,3.1,Decreasing,Global,2,,
451,Dicot,RHAMNACEAE,Ochetophila,193419132,193415746,Ochetophila trinervis,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,trinervis,NA,NA,NA,(Gillies ex Hook.) Poepp. ex Endl.,Least Concern,,3.1,Unknown,Global,1,,
452,Dicot,OLEACEAE,Noronhia,128421065,128419890,Noronhia crassinodis,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,crassinodis,NA,NA,NA,H.Perrier,Vulnerable,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global,3,,
